
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       800
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       6740
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       6740
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       4092
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2296
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       8824
  TCP    0.0.0.0:7250           0.0.0.0:0              LISTENING       19076
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       1656
  TCP    0.0.0.0:12177          0.0.0.0:0              LISTENING       18080
  TCP    0.0.0.0:30002          0.0.0.0:0              LISTENING       6532
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1784
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1612
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2592
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4084
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4128
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       5896
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       6428
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       1736
  TCP    127.0.0.1:1042         0.0.0.0:0              LISTENING       19680
  TCP    127.0.0.1:1042         127.0.0.1:50634        ESTABLISHED     19680
  TCP    127.0.0.1:1042         127.0.0.1:50639        ESTABLISHED     19680
  TCP    127.0.0.1:1043         0.0.0.0:0              LISTENING       19680
  TCP    127.0.0.1:6850         0.0.0.0:0              LISTENING       16416
  TCP    127.0.0.1:6850         127.0.0.1:50644        ESTABLISHED     16416
  TCP    127.0.0.1:7778         0.0.0.0:0              LISTENING       6020
  TCP    127.0.0.1:9012         0.0.0.0:0              LISTENING       19952
  TCP    127.0.0.1:9012         127.0.0.1:50505        ESTABLISHED     19952
  TCP    127.0.0.1:9013         0.0.0.0:0              LISTENING       19952
  TCP    127.0.0.1:9014         0.0.0.0:0              LISTENING       10776
  TCP    127.0.0.1:11001        0.0.0.0:0              LISTENING       6076
  TCP    127.0.0.1:13030        0.0.0.0:0              LISTENING       6392
  TCP    127.0.0.1:13030        127.0.0.1:49671        ESTABLISHED     6392
  TCP    127.0.0.1:13031        0.0.0.0:0              LISTENING       6068
  TCP    127.0.0.1:13031        127.0.0.1:50508        ESTABLISHED     6068
  TCP    127.0.0.1:13032        0.0.0.0:0              LISTENING       6068
  TCP    127.0.0.1:22112        0.0.0.0:0              LISTENING       6392
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       6056
  TCP    127.0.0.1:49671        127.0.0.1:13030        ESTABLISHED     6392
  TCP    127.0.0.1:49698        127.0.0.1:50100        ESTABLISHED     18080
  TCP    127.0.0.1:50100        0.0.0.0:0              LISTENING       6068
  TCP    127.0.0.1:50100        127.0.0.1:49698        ESTABLISHED     6068
  TCP    127.0.0.1:50505        127.0.0.1:9012         ESTABLISHED     18080
  TCP    127.0.0.1:50508        127.0.0.1:13031        ESTABLISHED     6076
  TCP    127.0.0.1:50521        127.0.0.1:50522        ESTABLISHED     6740
  TCP    127.0.0.1:50522        127.0.0.1:50521        ESTABLISHED     6740
  TCP    127.0.0.1:50634        127.0.0.1:1042         ESTABLISHED     19952
  TCP    127.0.0.1:50639        127.0.0.1:1042         ESTABLISHED     10608
  TCP    127.0.0.1:50644        127.0.0.1:6850         ESTABLISHED     21716
  TCP    127.0.0.1:50923        0.0.0.0:0              LISTENING       6020
  TCP    127.0.0.1:51100        0.0.0.0:0              LISTENING       18080
  TCP    127.0.0.1:55201        127.0.0.1:55202        ESTABLISHED     6740
  TCP    127.0.0.1:55202        127.0.0.1:55201        ESTABLISHED     6740
  TCP    127.0.0.1:57188        127.0.0.1:57189        ESTABLISHED     6740
  TCP    127.0.0.1:57189        127.0.0.1:57188        ESTABLISHED     6740
  TCP    172.20.134.97:139      0.0.0.0:0              LISTENING       4
  TCP    172.20.134.97:60388    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60389    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60390    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60394    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60395    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60396    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60399    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60400    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60401    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60402    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60403    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:60404    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65250    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65251    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65252    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65254    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65255    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65256    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65257    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65258    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65259    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65268    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65269    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65270    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65271    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65272    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65273    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65276    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65277    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65278    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65283    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65284    172.20.134.225:53      TIME_WAIT       0
  TCP    172.20.134.97:65285    172.20.134.225:53      TIME_WAIT       0
  TCP    172.30.192.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.137.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.199.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.231.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.231.1:49826    192.168.231.131:1514   ESTABLISHED     26604
  TCP    [::]:135               [::]:0                 LISTENING       800
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       4092
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:3389              [::]:0                 LISTENING       2296
  TCP    [::]:7250              [::]:0                 LISTENING       19076
  TCP    [::]:7680              [::]:0                 LISTENING       1656
  TCP    [::]:49664             [::]:0                 LISTENING       1784
  TCP    [::]:49665             [::]:0                 LISTENING       1612
  TCP    [::]:49666             [::]:0                 LISTENING       2592
  TCP    [::]:49667             [::]:0                 LISTENING       4084
  TCP    [::]:49668             [::]:0                 LISTENING       4128
  TCP    [::]:49669             [::]:0                 LISTENING       5896
  TCP    [::]:49670             [::]:0                 LISTENING       6428
  TCP    [::]:49672             [::]:0                 LISTENING       1736
  TCP    [::1]:50517            [::1]:50518            ESTABLISHED     8388
  TCP    [::1]:50518            [::1]:50517            ESTABLISHED     8388
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:49518  [2603:1040:a06:6::]:443  ESTABLISHED     6732
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:51618  [64:ff9b::d8ef:20df]:443  ESTABLISHED     16960
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:52862  [64:ff9b::6812:2715]:443  ESTABLISHED     16960
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:53678  [2a06:98c1:3107::6812:2715]:443  ESTABLISHED     15772
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:53680  [2603:1046:900:2c::2]:443  ESTABLISHED     10728
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:55115  [64:ff9b::4712:1e1]:443  CLOSE_WAIT      21360
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:56201  [64:ff9b::4899:583]:443  TIME_WAIT       0
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:56202  [64:ff9b::4899:53f]:443  TIME_WAIT       0
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:57019  [2603:1063:2001:2003::365:ff1]:443  ESTABLISHED     10728
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:57020  [2603:1046:900:40::2]:443  ESTABLISHED     10728
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:57434  [64:ff9b::284f:8d9a]:443  ESTABLISHED     9640
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:57964  [64:ff9b::8efa:c123]:443  ESTABLISHED     16960
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:59074  [64:ff9b::acbc:9b19]:443  ESTABLISHED     9640
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:59905  [64:ff9b::de8:c1e6]:443  ESTABLISHED     18152
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:62052  [64:ff9b::4712:1e1]:443  CLOSE_WAIT      14644
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:62914  [2404:6800:4003:c0f::bc]:5228  ESTABLISHED     15772
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:63236  [64:ff9b::8c52:7119]:443  ESTABLISHED     15772
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:63804  [2404:6800:4003:c1a::bc]:5228  ESTABLISHED     16960
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:64649  [64:ff9b::14be:9227]:443  TIME_WAIT       0
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:64650  [2603:1046:c04:1401::2]:443  ESTABLISHED     13112
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:65212  [64:ff9b::8efb:2b6a]:443  ESTABLISHED     16960
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:65230  [64:ff9b::de1:6738]:443  TIME_WAIT       0
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:65287  [64:ff9b::de1:676d]:443  TIME_WAIT       0
  TCP    [2402:3a80:4021:b4ae:7935:3bf1:9a00:a344]:65326  [2a06:98c1:3108::ac40:94eb]:443  ESTABLISHED     15772
  UDP    0.0.0.0:53             *:*                                    4356
  UDP    0.0.0.0:123            *:*                                    24008
  UDP    0.0.0.0:500            *:*                                    6404
  UDP    0.0.0.0:3389           *:*                                    2296
  UDP    0.0.0.0:4500           *:*                                    6404
  UDP    0.0.0.0:5050           *:*                                    8824
  UDP    0.0.0.0:5353           *:*                                    15716
  UDP    0.0.0.0:5353           *:*                                    15716
  UDP    0.0.0.0:5353           *:*                                    15716
  UDP    0.0.0.0:5353           *:*                                    15716
  UDP    0.0.0.0:5353           *:*                                    15772
  UDP    0.0.0.0:5353           *:*                                    16960
  UDP    0.0.0.0:5353           *:*                                    16960
  UDP    0.0.0.0:5353           *:*                                    5672
  UDP    0.0.0.0:5353           *:*                                    16960
  UDP    0.0.0.0:5353           *:*                                    16960
  UDP    0.0.0.0:5353           *:*                                    15716
  UDP    0.0.0.0:5353           *:*                                    5672
  UDP    0.0.0.0:5353           *:*                                    23828
  UDP    0.0.0.0:5353           *:*                                    5672
  UDP    0.0.0.0:5353           *:*                                    5672
  UDP    0.0.0.0:5353           *:*                                    5672
  UDP    0.0.0.0:5353           *:*                                    15772
  UDP    0.0.0.0:5353           *:*                                    23828
  UDP    0.0.0.0:5353           *:*                                    23828
